EPD_C8,-9.65,-2.79,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,-9.65,-3.94,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,-15.88,10.54,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,6.22,-13.59,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,19.69,-0.76,0.00,BMA421,BMA423_BMA423
IC9,11.94,4.45,180.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-14.02,-1.08,270.00,503480-2400,503480-2400_5034802400
J2,16.83,-8.76,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,-2.16,12.62,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,7.11,0.64,180.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,-2.17,5.33,270.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,-0.99,5.33,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,19.18,7.72,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,11.81,0.25,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,14.78,14.18,90.00,DMG2305UX-7,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,20.13,12.48,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,15.37,2.92,90.00,3K3,ERA-1AEB3401C_0201
R18,15.37,2.29,90.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,17.14,15.37,90.00,0.47,ERA-1AEB3401C_0201
R1_USB,3.05,9.02,90.00,5K1,ERA-1AEB3401C_0201
R2,15.40,4.45,270.00,0,ERA-1AEB3401C_0201
R2_EP_DR,18.53,14.64,270.00,10K,ERA-1AEB3401C_0201
R2_USB1,1.78,9.02,90.00,5K1,ERA-1AEB3401C_0201
R3,10.67,-1.65,90.00,0,ERA-1AEB3401C_0201
R4,14.48,3.68,270.00,0,ERA-1AEB3401C_0201
R5,-14.48,-15.75,0.00,10K,ERA-1AEB3401C_0201
R7,13.84,-16.13,90.00,10K,ERA-1AEB3401C_0201
R8,-3.43,-16.00,0.00,10K,ERA-1AEB3401C_0201
R9,-15.88,13.21,90.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,15.88,14.16,0.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,15.75,11.81,90.00,2.2,ERA-1AEB3401C_0201
SJ1,17.53,12.37,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.54,-15.25,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.38,-15.12,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.43,-15.25,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-3.05,-11.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,8.51,-5.84,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-21.34,10.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,8.76,-2.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,6.73,-16.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,8.38,-10.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,16.38,-14.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,16.00,-1.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,17.91,3.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,19.30,-14.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,6.10,-9.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,5.97,-5.21,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-19.42,13.31,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,20.45,3.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,1.27,0.00,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-10.16,14.22,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-9.27,-11.18,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-4.95,0.00,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
